car_ID,CarName,fueltype,doornumber,carbody,drivewheel,enginelocation,cylindernumber,horsepower,peakrpm,citympg,highwaympg,price
41,honda accord,gas,four,sedan,fwd,front,four,86,5800,27,33,10295
42,honda civic,gas,four,sedan,fwd,front,four,101,5800,24,28,12945
43,honda civic (auto),gas,two,sedan,fwd,front,four,100,5500,25,31,10345
44,isuzu MU-X,gas,four,sedan,rwd,front,four,78,4800,24,29,6785
45,isuzu D-Max ,gas,two,sedan,fwd,front,four,70,5400,38,43,8916.5
46,isuzu D-Max V-Cross,gas,four,sedan,fwd,front,four,70,5400,38,43,8916.5
47,isuzu D-Max ,gas,two,hatchback,rwd,front,four,90,5000,24,29,11048
48,jaguar xj,gas,four,sedan,rwd,front,six,176,4750,15,19,32250
49,jaguar xf,gas,four,sedan,rwd,front,six,176,4750,15,19,35550
50,jaguar xk,gas,two,sedan,rwd,front,twelve,262,5000,13,17,36000
51,maxda rx3,gas,two,hatchback,fwd,front,four,68,5000,30,31,5195
52,maxda glc deluxe,gas,two,hatchback,fwd,front,four,68,5000,31,38,6095
53,mazda rx2 coupe,gas,two,hatchback,fwd,front,four,68,5000,31,38,6795
54,mazda rx-4,gas,four,sedan,fwd,front,four,68,5000,31,38,6695
55,mazda glc deluxe,gas,four,sedan,fwd,front,four,68,5000,31,38,7395
56,mazda 626,gas,two,hatchback,rwd,front,two,101,6000,17,23,10945
57,mazda glc,gas,two,hatchback,rwd,front,two,101,6000,17,23,11845
58,mazda rx-7 gs,gas,two,hatchback,rwd,front,two,101,6000,17,23,13645
59,mazda glc 4,gas,two,hatchback,rwd,front,two,135,6000,16,23,15645
60,mazda 626,gas,two,hatchback,fwd,front,four,84,4800,26,32,8845
61,mazda glc custom l,gas,four,sedan,fwd,front,four,84,4800,26,32,8495
62,mazda glc custom,gas,two,hatchback,fwd,front,four,84,4800,26,32,10595
63,mazda rx-4,gas,four,sedan,fwd,front,four,84,4800,26,32,10245
64,mazda glc deluxe,diesel,four,sedan,fwd,front,four,64,4650,36,42,10795
65,mazda 626,gas,four,hatchback,fwd,front,four,84,4800,26,32,11245
66,mazda glc,gas,four,sedan,rwd,front,four,120,5000,19,27,18280
67,mazda rx-7 gs,diesel,four,sedan,rwd,front,four,72,4200,31,39,18344
68,buick electra 225 custom,diesel,four,sedan,rwd,front,five,123,4350,22,25,25552
69,buick century luxus (sw),diesel,four,wagon,rwd,front,five,123,4350,22,25,28248
70,buick century,diesel,two,hardtop,rwd,front,five,123,4350,22,25,28176
71,buick skyhawk,diesel,four,sedan,rwd,front,five,123,4350,22,25,31600
72,buick opel isuzu deluxe,gas,four,sedan,rwd,front,eight,155,4750,16,18,34184
73,buick skylark,gas,two,convertible,rwd,front,eight,155,4750,16,18,35056
74,buick century special,gas,four,sedan,rwd,front,eight,184,4500,14,16,40960
75,buick regal sport coupe (turbo),gas,two,hardtop,rwd,front,eight,184,4500,14,16,45400
76,mercury cougar,gas,two,hatchback,rwd,front,four,175,5000,19,24,16503
77,mitsubishi mirage,gas,two,hatchback,fwd,front,four,68,5500,37,41,5389
78,mitsubishi lancer,gas,two,hatchback,fwd,front,four,68,5500,31,38,6189
79,mitsubishi outlander,gas,two,hatchback,fwd,front,four,68,5500,31,38,6669
80,mitsubishi g4,gas,two,hatchback,fwd,front,four,102,5500,24,30,7689
81,mitsubishi mirage g4,gas,two,hatchback,fwd,front,four,116,5500,23,30,9959
82,mitsubishi g4,gas,two,hatchback,fwd,front,four,88,5000,25,32,8499
83,mitsubishi outlander,gas,two,hatchback,fwd,front,four,145,5000,19,24,12629
84,mitsubishi g4,gas,two,hatchback,fwd,front,four,145,5000,19,24,14869
85,mitsubishi mirage g4,gas,two,hatchback,fwd,front,four,145,5000,19,24,14489
86,mitsubishi montero,gas,four,sedan,fwd,front,four,88,5000,25,32,6989
87,mitsubishi pajero,gas,four,sedan,fwd,front,four,88,5000,25,32,8189
88,mitsubishi outlander,gas,four,sedan,fwd,front,four,116,5500,23,30,9279
89,mitsubishi mirage g4,gas,four,sedan,fwd,front,four,116,5500,23,30,9279
90,Nissan versa,gas,two,sedan,fwd,front,four,69,5200,31,37,5499
91,nissan gt-r,diesel,two,sedan,fwd,front,four,55,4800,45,50,7099
92,nissan rogue,gas,two,sedan,fwd,front,four,69,5200,31,37,6649
93,nissan latio,gas,four,sedan,fwd,front,four,69,5200,31,37,6849
94,nissan titan,gas,four,wagon,fwd,front,four,69,5200,31,37,7349
95,nissan leaf,gas,two,sedan,fwd,front,four,69,5200,31,37,7299
96,nissan juke,gas,two,hatchback,fwd,front,four,69,5200,31,37,7799
97,nissan latio,gas,four,sedan,fwd,front,four,69,5200,31,37,7499
98,nissan note,gas,four,wagon,fwd,front,four,69,5200,31,37,7999
99,nissan clipper,gas,two,hardtop,fwd,front,four,69,5200,31,37,8249
100,nissan rogue,gas,four,hatchback,fwd,front,four,97,5200,27,34,8949
101,nissan nv200,gas,four,sedan,fwd,front,four,97,5200,27,34,9549
102,nissan dayz,gas,four,sedan,fwd,front,six,152,5200,17,22,13499
103,nissan fuga,gas,four,wagon,fwd,front,six,152,5200,17,22,14399
104,nissan otti,gas,four,sedan,fwd,front,six,152,5200,19,25,13499
105,nissan teana,gas,two,hatchback,rwd,front,six,160,5200,19,25,17199
106,nissan kicks,gas,two,hatchback,rwd,front,six,200,5200,17,23,19699
107,nissan clipper,gas,two,hatchback,rwd,front,six,160,5200,19,25,18399
108,peugeot 504,gas,four,sedan,rwd,front,four,97,5000,19,24,11900
109,peugeot 304,diesel,four,sedan,rwd,front,four,95,4150,28,33,13200
110,peugeot 504 (sw),gas,four,wagon,rwd,front,four,97,5000,19,24,12440
111,peugeot 504,diesel,four,wagon,rwd,front,four,95,4150,25,25,13860
112,peugeot 504,gas,four,sedan,rwd,front,four,95,5000,19,24,15580
113,peugeot 604sl,diesel,four,sedan,rwd,front,four,95,4150,28,33,16900
114,peugeot 504,gas,four,wagon,rwd,front,four,95,5000,19,24,16695
115,peugeot 505s turbo diesel,diesel,four,wagon,rwd,front,four,95,4150,25,25,17075
116,peugeot 504,gas,four,sedan,rwd,front,four,97,5000,19,24,16630
117,peugeot 504,diesel,four,sedan,rwd,front,four,95,4150,28,33,17950
118,peugeot 604sl,gas,four,sedan,rwd,front,four,142,5600,18,24,18150
119,plymouth fury iii,gas,two,hatchback,fwd,front,four,68,5500,37,41,5572
120,plymouth cricket,gas,two,hatchback,fwd,front,four,102,5500,24,30,7957
121,plymouth fury iii,gas,four,hatchback,fwd,front,four,68,5500,31,38,6229
122,plymouth satellite custom (sw),gas,four,sedan,fwd,front,four,68,5500,31,38,6692
123,plymouth fury gran sedan,gas,four,sedan,fwd,front,four,68,5500,31,38,7609
124,plymouth valiant,gas,four,wagon,fwd,front,four,88,5000,24,30,8921
125,plymouth duster,gas,two,hatchback,rwd,front,four,145,5000,19,24,12764
126,porsche macan,gas,two,hatchback,rwd,front,four,143,5500,19,27,22018
127,porcshce panamera,gas,two,hardtop,rwd,rear,six,207,5900,17,25,32528
128,porsche cayenne,gas,two,hardtop,rwd,rear,six,207,5900,17,25,34028
129,porsche boxter,gas,two,convertible,rwd,rear,six,207,5900,17,25,37028
130,porsche cayenne,gas,two,hatchback,rwd,front,eight,288,5750,17,28,31400.5
131,renault 12tl,gas,four,wagon,fwd,front,four,90,5100,23,31,9295
132,renault 5 gtl,gas,two,hatchback,fwd,front,four,90,5100,23,31,9895
133,saab 99e,gas,two,hatchback,fwd,front,four,110,5250,21,28,11850
134,saab 99le,gas,four,sedan,fwd,front,four,110,5250,21,28,12170
135,saab 99le,gas,two,hatchback,fwd,front,four,110,5250,21,28,15040
136,saab 99gle,gas,four,sedan,fwd,front,four,110,5250,21,28,15510
137,saab 99gle,gas,two,hatchback,fwd,front,four,160,5500,19,26,18150
138,saab 99e,gas,four,sedan,fwd,front,four,160,5500,19,26,18620
139,subaru,gas,two,hatchback,fwd,front,four,69,4900,31,36,5118
140,subaru dl,gas,two,hatchback,fwd,front,four,73,4400,26,31,7053
141,subaru dl,gas,two,hatchback,4wd,front,four,73,4400,26,31,7603
142,subaru,gas,four,sedan,fwd,front,four,82,4800,32,37,7126
143,subaru brz,gas,four,sedan,fwd,front,four,82,4400,28,33,7775
144,subaru baja,gas,four,sedan,fwd,front,four,94,5200,26,32,9960
145,subaru r1,gas,four,sedan,4wd,front,four,82,4800,24,25,9233
146,subaru r2,gas,four,sedan,4wd,front,four,111,4800,24,29,11259
147,subaru trezia,gas,four,wagon,fwd,front,four,82,4800,28,32,7463
148,subaru tribeca,gas,four,wagon,fwd,front,four,94,5200,25,31,10198
149,subaru dl,gas,four,wagon,4wd,front,four,82,4800,23,29,8013
150,subaru dl,gas,four,wagon,4wd,front,four,111,4800,23,23,11694
151,toyota corona mark ii,gas,two,hatchback,fwd,front,four,62,4800,35,39,5348
152,toyota corona,gas,two,hatchback,fwd,front,four,62,4800,31,38,6338
153,toyota corolla 1200,gas,four,hatchback,fwd,front,four,62,4800,31,38,6488
154,toyota corona hardtop,gas,four,wagon,fwd,front,four,62,4800,31,37,6918
155,toyota corolla 1600 (sw),gas,four,wagon,4wd,front,four,62,4800,27,32,7898
156,toyota carina,gas,four,wagon,4wd,front,four,62,4800,27,32,8778
157,toyota mark ii,gas,four,sedan,fwd,front,four,70,4800,30,37,6938
158,toyota corolla 1200,gas,four,hatchback,fwd,front,four,70,4800,30,37,7198
159,toyota corona,diesel,four,sedan,fwd,front,four,56,4500,34,36,7898
160,toyota corolla,diesel,four,hatchback,fwd,front,four,56,4500,38,47,7788
161,toyota corona,gas,four,sedan,fwd,front,four,70,4800,38,47,7738
162,toyota corolla,gas,four,hatchback,fwd,front,four,70,4800,28,34,8358
163,toyota mark ii,gas,four,sedan,fwd,front,four,70,4800,28,34,9258
164,toyota corolla liftback,gas,two,sedan,rwd,front,four,70,4800,29,34,8058
165,toyota corona,gas,two,hatchback,rwd,front,four,70,4800,29,34,8238
166,toyota celica gt liftback,gas,two,sedan,rwd,front,four,112,6600,26,29,9298
167,toyota corolla tercel,gas,two,hatchback,rwd,front,four,112,6600,26,29,9538
168,toyota corona liftback,gas,two,hardtop,rwd,front,four,116,4800,24,30,8449
169,toyota corolla,gas,two,hardtop,rwd,front,four,116,4800,24,30,9639
170,toyota starlet,gas,two,hatchback,rwd,front,four,116,4800,24,30,9989
171,toyota tercel,gas,two,hardtop,rwd,front,four,116,4800,24,30,11199
172,toyota corolla,gas,two,hatchback,rwd,front,four,116,4800,24,30,11549
173,toyota cressida,gas,two,convertible,rwd,front,four,116,4800,24,30,17669
174,toyota corolla,gas,four,sedan,fwd,front,four,92,4200,29,34,8948
175,toyota celica gt,diesel,four,sedan,fwd,front,four,73,4500,30,33,10698
176,toyota corona,gas,four,hatchback,fwd,front,four,92,4200,27,32,9988
177,toyota corolla,gas,four,sedan,fwd,front,four,92,4200,27,32,10898
178,toyota mark ii,gas,four,hatchback,fwd,front,four,92,4200,27,32,11248
179,toyota corolla liftback,gas,two,hatchback,rwd,front,six,161,5200,20,24,16558
180,toyota corona,gas,two,hatchback,rwd,front,six,161,5200,19,24,15998
181,toyota starlet,gas,four,sedan,rwd,front,six,156,5200,20,24,15690
182,toyouta tercel,gas,four,wagon,rwd,front,six,156,5200,19,24,15750
183,vokswagen rabbit,diesel,two,sedan,fwd,front,four,52,4800,37,46,7775
184,volkswagen 1131 deluxe sedan,gas,two,sedan,fwd,front,four,85,5250,27,34,7975
185,volkswagen model 111,diesel,four,sedan,fwd,front,four,52,4800,37,46,7995
186,volkswagen type 3,gas,four,sedan,fwd,front,four,85,5250,27,34,8195
187,volkswagen 411 (sw),gas,four,sedan,fwd,front,four,85,5250,27,34,8495
188,volkswagen super beetle,diesel,four,sedan,fwd,front,four,68,4500,37,42,9495
189,volkswagen dasher,gas,four,sedan,fwd,front,four,100,5500,26,32,9995
190,vw dasher,gas,two,convertible,fwd,front,four,90,5500,24,29,11595
191,vw rabbit,gas,two,hatchback,fwd,front,four,90,5500,24,29,9980
192,volkswagen rabbit,gas,four,sedan,fwd,front,five,110,5500,19,24,13295
193,volkswagen rabbit custom,diesel,four,sedan,fwd,front,four,68,4500,33,38,13845
194,volkswagen dasher,gas,four,wagon,fwd,front,four,88,5500,25,31,12290
195,volvo 145e (sw),gas,four,sedan,rwd,front,four,114,5400,23,28,12940
196,volvo 144ea,gas,four,wagon,rwd,front,four,114,5400,23,28,13415
197,volvo 244dl,gas,four,sedan,rwd,front,four,114,5400,24,28,15985
198,volvo 245,gas,four,wagon,rwd,front,four,114,5400,24,28,16515
199,volvo 264gl,gas,four,sedan,rwd,front,four,162,5100,17,22,18420
200,volvo diesel,gas,four,wagon,rwd,front,four,162,5100,17,22,18950
201,volvo 145e (sw),gas,four,sedan,rwd,front,four,114,5400,23,28,16845
202,volvo 144ea,gas,four,sedan,rwd,front,four,160,5300,19,25,19045
203,volvo 244dl,gas,four,sedan,rwd,front,six,134,5500,18,23,21485
204,volvo 246,diesel,four,sedan,rwd,front,six,106,4800,26,27,22470
205,volvo 264gl,gas,four,sedan,rwd,front,four,114,5400,19,25,22625
